"행정구역","2025년06월_남_총인구수","2025년06월_남_연령구간인구수","2025년06월_남_0~9세","2025년06월_남_10~19세","2025년06월_남_20~29세","2025년06월_남_30~39세","2025년06월_남_40~49세","2025년06월_남_50~59세","2025년06월_남_60~69세","2025년06월_남_70~79세","2025년06월_남_80~89세","2025년06월_남_90~99세","2025년06월_남_100세 이상","2025년06월_여_총인구수","2025년06월_여_연령구간인구수","2025년06월_여_0~9세","2025년06월_여_10~19세","2025년06월_여_20~29세","2025년06월_여_30~39세","2025년06월_여_40~49세","2025년06월_여_50~59세","2025년06월_여_60~69세","2025년06월_여_70~79세","2025년06월_여_80~89세","2025년06월_여_90~99세","2025년06월_여_100세 이상"
"경상북도 경주시 내남면(4713033000)","2,236","2,236","25","91","109","116","168","380","669","457","195","26","0","2,166","2,166","20","89","69","78","122","308","551","435","384","108","2"
"경상북도 경주시 산내면(4713034000)","1,585","1,585","17","42","44","60","83","241","532","391","159","15","1","1,576","1,576","12","28","36","44","86","213","484","349","269","53","2"
"경상북도 경주시 서면(4713035000)","1,499","1,499","21","70","67","74","122","265","411","298","155","16","0","1,433","1,433","26","39","34","50","79","183","340","362","262","58","0"
"경상북도 경주시 현곡면(4713036000)","10,606","10,606","1,013","1,204","976","1,324","1,616","1,983","1,544","712","215","19","0","10,965","10,965","890","1,192","837","1,282","1,743","2,045","1,624","773","485","89","5"
"경상북도 경주시 강동면(4713037000)","3,028","3,028","55","105","248","207","260","641","814","466","207","25","0","2,818","2,818","50","108","139","117","188","504","691","535","393","93","0"
"경상북도 경주시 천북면(4713038000)","2,830","2,830","98","134","205","262","333","551","654","399","177","17","0","2,605","2,605","96","138","151","223","248","447","553","403","293","53","0"
"경상북도 경주시 중부동(4713051500)","2,162","2,162","47","128","182","188","274","380","446","328","174","15","0","2,244","2,244","43","105","170","143","212","329","473","454","264","51","0"
"경상북도 경주시 황오동(4713053000)","2,649","2,649","54","105","230","232","304","494","605","414","192","19","0","2,883","2,883","48","127","171","167","221","450","690","592","359","57","1"
"경상북도 경주시 성건동(4713055000)","6,217","6,217","128","354","1,128","572","644","1,116","1,085","820","341","29","0","6,424","6,424","103","302","904","425","522","970","1,340","1,201","565","88","4"
"경상북도 경주시 황남동(4713057000)","1,858","1,858","20","66","101","138","189","341","466","318","198","21","0","1,857","1,857","23","67","68","84","124","277","410","413","331","60","0"
"경상북도 경주시 선도동(4713059000)","6,837","6,837","323","786","839","657","991","1,356","1,128","532","201","23","1","6,829","6,829","319","663","610","535","1,052","1,397","1,080","692","407","74","0"
"경상북도 경주시 월성동(4713060500)","2,611","2,611","98","190","180","184","298","508","613","361","165","14","0","2,722","2,722","93","178","123","168","302","456","555","453","326","66","2"
"경상북도 경주시 용강동(4713061500)","12,170","12,170","1,294","1,493","1,106","1,628","2,289","2,017","1,552","595","173","23","0","12,524","12,524","1,253","1,481","946","1,608","2,273","2,165","1,547","761","403","85","2"
"경상북도 경주시 황성동(4713062100)","13,434","13,434","897","1,755","1,687","1,497","2,019","2,647","1,913","781","219","19","0","14,072","14,072","893","1,597","1,343","1,468","2,290","2,970","2,056","883","470","99","3"
"경상북도 경주시 동천동(4713063000)","9,948","9,948","342","841","1,219","1,116","1,305","2,035","1,838","933","295","24","0","10,046","10,046","332","776","1,013","811","1,276","2,113","2,025","1,103","502","94","1"
"경상북도 경주시 불국동(4713065000)","4,812","4,812","266","304","339","513","691","910","955","562","246","25","1","4,736","4,736","247","274","297","436","529","810","961","646","435","97","4"
"경상북도 경주시 보덕동(4713066000)","803","803","16","36","60","55","93","168","198","128","44","5","0","808","808","17","26","58","37","64","145","192","140","99","29","1"
"경상북도 김천시 (4715000000)","68,018","68,018","3,931","6,595","6,288","7,242","9,130","11,772","12,545","7,215","2,916","379","5","66,907","66,907","3,688","5,449","4,819","6,002","8,269","11,020","12,210","8,312","5,795","1,314","29"
"경상북도 김천시 아포읍(4715025000)","4,076","4,076","138","228","280","376","448","861","1,030","512","188","15","0","4,013","4,013","135","212","222","302","401","794","896","553","402","94","2"
"경상북도 김천시 농소면(4715031000)","1,607","1,607","57","70","124","125","157","335","371","234","111","23","0","1,452","1,452","37","71","72","73","118","234","334","261","200","52","0"
"경상북도 김천시 남면(4715032000)","1,475","1,475","34","48","75","92","142","274","416","267","105","22","0","1,376","1,376","18","44","47","81","69","196","342","256","242","80","1"
"경상북도 김천시 개령면(4715034000)","1,129","1,129","18","44","46","77","95","196","345","222","79","7","0","1,072","1,072","17","35","29","45","45","149","286","230","178","56","2"
"경상북도 김천시 감문면(4715035000)","1,545","1,545","16","38","54","65","124","265","532","287","136","28","0","1,514","1,514","19","39","33","45","68","201","389","324","294","99","3"
"경상북도 김천시 어모면(4715036000)","2,010","2,010","70","97","137","134","181","366","536","334","134","20","1","1,934","1,934","59","64","94","87","150","307","470","359","285","58","1"
"경상북도 김천시 봉산면(4715037000)","1,474","1,474","26","71","67","87","131","266","442","258","111","14","1","1,353","1,353","26","51","37","60","82","208","373","268","204","44","0"
"경상북도 김천시 대항면(4715038000)","1,612","1,612","32","78","102","92","134","294","503","259","105","13","0","1,518","1,518","34","53","67","65","93","253","403","275","215","58","2"
"경상북도 김천시 감천면(4715039000)","887","887","21","35","41","51","82","175","244","154","70","13","1","839","839","14","25","20","32","60","139","210","168","136","35","0"
"경상북도 김천시 조마면(4715040000)","1,034","1,034","13","39","48","51","92","162","351","188","82","8","0","1,009","1,009","15","36","28","39","52","150","274","207","163","44","1"
"경상북도 김천시 구성면(4715041000)","1,264","1,264","15","32","41","47","86","219","419","280","113","11","1","1,304","1,304","10","23","34","37","45","170","329","289","278","88","1"
"경상북도 김천시 지례면(4715042000)","703","703","5","33","24","31","40","121","213","146","76","13","1","682","682","11","24","16","17","17","77","167","158","159","36","0"
"경상북도 김천시 부항면(4715043000)","600","600","4","22","19","24","44","97","208","130","46","6","0","590","590","3","14","11","21","25","88","146","117","135","29","1"
"경상북도 김천시 대덕면(4715044000)","1,077","1,077","13","161","33","46","80","146","299","183","106","10","0","1,054","1,054","17","140","26","29","37","129","245","191","193","46","1"
"경상북도 김천시 증산면(4715045000)","468","468","5","13","10","14","28","90","166","97","39","6","0","485","485","5","8","10","13","29","63","153","97","91","15","1"
"경상북도 김천시 자산동(4715051600)","2,959","2,959","78","136","265","272","334","562","607","482","203","20","0","2,917","2,917","65","130","170","190","247","389","738","602","334","52","0"
"경상북도 김천시 평화남산동(4715053600)","3,377","3,377","68","179","352","367","424","564","679","485","238","21","0","3,487","3,487","66","150","243","218","318","513","814","671","418","72","4"
"경상북도 김천시 양금동(4715056500)","1,621","1,621","32","97","105","85","167","307","353","312","146","17","0","1,752","1,752","33","75","82","80","112","255","416","396","263","38","2"
"경상북도 김천시 대신동(4715057500)","11,659","11,659","651","1,394","1,711","1,324","1,630","2,150","1,668","776","315","40","0","11,747","11,747","618","1,330","1,356","1,094","1,689","2,260","1,704","971","605","117","3"
"경상북도 김천시 대곡동(4715059500)","10,317","10,317","630","1,498","1,035","1,111","1,376","1,770","1,600","934","314","49","0","10,091","10,091","621","850","715","912","1,321","1,941","1,886","1,115","604","124","2"
"경상북도 김천시 지좌동(4715061000)","5,378","5,378","316","510","644","769","793","956","817","424","136","13","0","5,075","5,075","270","436","453","528","708","967","876","517","273","46","1"
"경상북도 김천시 율곡동(4715064000)","11,746","11,746","1,689","1,772","1,075","2,002","2,542","1,596","746","251","63","10","0","11,643","11,643","1,595","1,639","1,054","2,034","2,583","1,537","759","287","123","31","1"
"경상북도 안동시 (4717000000)","76,187","76,187","3,901","7,031","8,470","7,592","9,667","13,269","13,662","8,339","3,831","419","6","77,567","77,567","3,644","6,316","7,209","6,452","9,336","12,239","13,834","9,884","7,091","1,525","37"
"경상북도 안동시 풍산읍(4717025000)","4,002","4,002","136","261","306","432","422","716","839","585","269","34","2","3,952","3,952","154","228","259","325","353","619","739","640","508","124","3"
"경상북도 안동시 와룡면(4717031000)","1,924","1,924","30","85","111","92","125","352","543","360","197","29","0","1,780","1,780","21","61","82","61","75","230","442","383","335","89","1"
"경상북도 안동시 북후면(4717032000)","1,425","1,425","16","38","50","80","151","268","404","244","154","20","0","1,308","1,308","13","32","35","36","79","191","306","267","276","69","4"
"경상북도 안동시 서후면(4717033000)","1,962","1,962","24","122","234","142","159","332","487","300","138","24","0","1,756","1,756","25","97","202","65","111","217","378","324","247","86","4"
"경상북도 안동시 풍천면(4717034000)","3,783","3,783","268","206","405","744","514","542","537","356","192","18","1","3,652","3,652","251","209","426","618","434","397","510","374","336","96","1"
"경상북도 안동시 일직면(4717035000)","1,151","1,151","15","44","35","42","97","200","339","252","117","10","0","1,233","1,233","19","43","27","39","57","147","294","294","257","53","3"
"경상북도 안동시 남후면(4717036000)","792","792","12","26","31","34","62","132","229","162","92","12","0","787","787","15","16","18","17","40","82","194","169","183","51","2"
"경상북도 안동시 남선면(4717037000)","1,013","1,013","23","32","57","55","85","204","290","181","78","8","0","955","955","17","24","41","45","54","154","248","184","149","39","0"
"경상북도 안동시 임하면(4717038000)","1,333","1,333","18","38","63","65","118","260","386","255","116","14","0","1,211","1,211","12","44","40","41","67","164","288","254","232","69","0"
"경상북도 안동시 길안면(4717039000)","1,306","1,306","12","34","35","60","83","216","466","246","136","18","0","1,216","1,216","8","25","29","34","41","152","332","256","282","54","3"
"경상북도 안동시 임동면(4717040000)","809","809","12","25","23","23","50","155","254","166","91","10","0","762","762","3","14","25","16","47","85","206","162","173","31","0"
"경상북도 안동시 예안면(4717041000)","848","848","12","32","28","32","51","128","282","195","80","8","0","802","802","7","6","20","22","29","91","237","192","166","31","1"
"경상북도 안동시 도산면(4717042000)","742","742","2","21","27","29","44","134","216","166","92","11","0","636","636","4","13","17","11","22","68","183","159","132","26","1"
"경상북도 안동시 녹전면(4717043000)","822","822","10","20","22","23","68","135","254","180","100","10","0","766","766","11","22","19","22","25","83","210","158","176","40","0"
"경상북도 안동시 중구동(4717051000)","2,351","2,351","86","139","297","248","291","405","385","315","172","13","0","2,459","2,459","71","143","321","198","233","343","416","420","261","52","1"
"경상북도 안동시 명륜동(4717052000)","2,219","2,219","78","169","223","194","261","428","477","249","130","10","0","2,395","2,395","72","178","204","157","276","395","485","353","233","41","1"
"경상북도 안동시 용상동(4717055500)","12,493","12,493","802","1,591","2,386","1,382","1,676","1,934","1,489","863","328","42","0","12,228","12,228","798","1,365","1,688","1,238","1,704","1,924","1,629","1,104","648","130","0"
"경상북도 안동시 서구동(4717058500)","3,935","3,935","186","422","373","306","538","714","664","475","232","23","2","4,291","4,291","160","408","356","252","561","650","796","630","407","69","2"
"경상북도 안동시 태화동(4717060000)","5,899","5,899","296","459","593","610","878","1,028","1,004","700","304","27","0","6,059","6,059","311","407","482","524","771","964","1,164","853","511","70","2"
"경상북도 안동시 평화동(4717062000)","2,800","2,800","112","235","286","250","367","501","492","372","170","15","0","2,979","2,979","94","221","218","200","350","494","624","474","261","41","2"
"경상북도 안동시 안기동(4717063000)","2,820","2,820","103","250","277","262","346","509","566","355","139","13","0","2,916","2,916","101","202","252","214","326","530","627","410","217","36","1"
"경상북도 안동시 옥동(4717065000)","9,331","9,331","648","1,239","1,138","1,002","1,401","1,681","1,354","609","231","27","1","10,476","10,476","589","1,162","1,102","953","1,625","1,864","1,651","890","545","94","1"
"경상북도 안동시 송하동(4717066000)","7,374","7,374","582","815","891","921","1,120","1,272","1,113","478","164","18","0","7,709","7,709","508","744","746","809","1,155","1,407","1,297","581","382","79","1"
"경상북도 안동시 강남동(4717069000)","5,053","5,053","418","728","579","564","760","1,023","592","275","109","5","0","5,239","5,239","380","652","600","555","901","988","578","353","174","55","3"
"경상북도 구미시 (4719000000)","208,717","208,717","14,675","23,099","26,436","31,678","36,068","35,764","27,525","9,997","3,119","353","3","195,257","195,257","14,035","21,211","18,768","26,351","34,105","35,939","25,829","11,257","6,353","1,368","41"
"경상북도 구미시 선산읍(4719025000)","6,594","6,594","254","518","521","525","807","1,234","1,539","835","322","39","0","6,765","6,765","240","488","350","419","735","1,273","1,488","923","657","184","8"
"경상북도 구미시 고아읍(4719025300)","19,899","19,899","1,661","2,139","2,051","2,560","2,979","3,622","3,440","1,054","348","44","1","19,953","19,953","1,603","1,936","1,509","2,447","3,050","4,233","3,086","1,097","767","221","4"
"경상북도 구미시 산동읍(4719025600)","15,990","15,990","2,716","2,168","1,051","3,456","3,934","1,474","824","272","86","9","0","14,715","14,715","2,597","2,041","768","3,653","3,194","1,295","659","265","183","60","0"
"경상북도 구미시 무을면(4719031000)","867","867","14","19","37","38","59","144","283","188","72","13","0","866","866","12","24","19","23","37","114","237","174","170","55","1"
"경상북도 구미시 옥성면(4719032000)","827","827","10","13","38","43","70","161","235","170","82","5","0","767","767","5","20","25","20","24","110","215","163","142","42","1"
"경상북도 구미시 도개면(4719033000)","1,028","1,028","9","45","41","44","95","202","294","182","96","20","0","972","972","8","40","29","27","47","117","250","207","205","42","0"
